query,no,token,pos
전주 여행,1,대중교통,NNP
전주 여행,1,이랑,NNP
전주 여행,1,렌트카,NNG
전주 여행,1,어떻,VA
전주 여행,1,을까요,EC
전주 여행,1,움직이,VV
전주 여행,1,편하,VA
전주 여행,1,ㄹ지,EC
전주 여행,1,대중교통,NNP
전주 여행,1,편하,VA
전주 여행,1,ㄹ지,EC
전주 여행,1,알리,VV
전주 여행,1,어요,EC
전주 여행,1,교통,NNG
전주 여행,1,상황,NNG
전주 여행,1,어떻,VA
전주 여행,1,ㄴ지,EC
전주 여행,1,궁금,XR
전주 여행,1,ㅂ니다,EC
전주 여행,1,맛집,NNG
전주 여행,1,국내,NNG
전주 여행,1,코스,NNG
전주 여행,1,주가,NNP
전주 여행,1,한곳,NNG
전주 여행,1,여수,NNP
전주 여행,1,여수,NNP
전주 여행,1,한곳,NNG
전주 여행,1,제주도,NNP
전주 여행,2,려고,EC
전주 여행,2,는데요,EC
전주 여행,2,려고,EC
전주 여행,2,는데요,EC
전주 여행,2,사람과,NNP
전주 여행,2,려고,EC
전주 여행,2,는데,EC
전주 여행,2,호텔,NNG
전주 여행,2,가격,NNP
전주 여행,2,정하,VV
전주 여행,2,ㄴ데,EC
전주 여행,2,얼마,NNG
전주 여행,2,정도,NNG
전주 여행,2,을까요,EC
전주 여행,2,그리고,MAJ
전주 여행,2,맛집,NNG
전주 여행,2,카페,NNG
전주 여행,2,추천,NNG
전주 여행,2,어요,EC
전주 여행,2,려고,EC
전주 여행,2,는데요,EC
전주 여행,2,사람과,NNP
전주 여행,2,려고,EC
전주 여행,2,는데,EC
전주 여행,3,커플,NNP
전주 여행,3,려고,EC
전주 여행,3,는데,EC
전주 여행,3,추천,NNG
전주 여행,3,어요,EC
전주 여행,3,숙소,NNG
전주 여행,3,거리,NNP
전주 여행,3,맛집,NNG
전주 여행,3,등등,NNB
전주 여행,3,추천,NNG
전주 여행,3,해주시,NNP
전주 여행,3,감사,NNG
전주 여행,3,습니다,EC
전주 여행,3,한옥마을,NNP
전주 여행,3,니다,NNP
전주 여행,3,답변,NNG
전주 여행,3,도움,NNG
전주 여행,3,으면,EC
전주 여행,3,습니다,EC
전주 여행,3,한옥마을,NNP
전주 여행,3,전주한옥마을,NNP
전주 여행,3,맛집,NNG
전주 여행,3,거리,NNP
전주 여행,3,추천,NNG
전주 여행,4,뚜벅이,NA
전주 여행,4,코스,NNG
전주 여행,4,이랑,NNP
전주 여행,4,는데,EC
전주 여행,4,뚜벅이에요,NA
전주 여행,4,숙소,NNG
전주 여행,4,한옥마을,NNP
전주 여행,4,ㄴ데,EC
전주 여행,4,이틀,NNG
전주 여행,4,동안,NNG
전주 여행,4,코스,NNG
전주 여행,4,추천,NNG
전주 여행,4,이나,JC
전주 여행,4,맛집,NNG
전주 여행,4,추천,NNG
전주 여행,4,부탁,NNG
전주 여행,4,드리,VV
전주 여행,4,어요,EC
전주 여행,4,광고,NNG
전주 여행,4,어요,EC
전주 여행,4,이랑,NNP
전주 여행,4,는데,EC
전주 여행,4,뚜벅이에요,NA
전주 여행,4,숙소,NNG
전주 여행,4,한옥마을,NNP
전주 여행,5,한옥,NNP
전주 여행,5,으로,JKB
전주 여행,5,이번,NNG
전주 여행,5,남자친구,NNP
전주 여행,5,같이,MAG
전주 여행,5,기로,NNP
전주 여행,5,해서,NNP
전주 여행,5,얼른,MAG
전주 여행,5,알아보,VV
전주 여행,5,아야,EC
전주 여행,5,는데,EC
전주 여행,5,한옥마을,NNP
전주 여행,5,근처,NNG
전주 여행,5,한옥,NNP
전주 여행,5,느낌,NNP
전주 여행,5,으로,JKB
전주 여행,5,ㄴ데,EC
전주 여행,5,을까요,EC
전주 여행,5,내부,NNG
전주 여행,5,정감,NNG
전주 여행,5,분위기,NNG
전주 여행,5,아요,EC
전주 여행,5,빠르,VA
전주 여행,5,답변,NNG
전주 여행,5,부탁,NNG
전주 여행,6,커플,NNP
전주 여행,6,대하,VV
전주 여행,6,도움,NNG
전주 여행,6,드리,VV
전주 여행,6,ㄹ게요,EC
전주 여행,6,남자친구,NNP
전주 여행,6,이용,NNG
전주 여행,6,ㄹ지,EC
전주 여행,6,이용,NNG
전주 여행,6,ㄹ지,EC
전주 여행,6,대하,VV
전주 여행,6,아서,EC
전주 여행,6,여러,MM
전주 여행,6,가지,NNB
전주 여행,6,요소,NNG
전주 여행,6,고려,NNG
전주 여행,6,어야,EC
전주 여행,6,ㅂ니다,EC
전주 여행,6,만약,MAG
전주 여행,6,교통,NNG
전주 여행,6,체증,NNG
전주 여행,6,예상,NNG
전주 여행,6,날짜,NNP
전주 여행,6,라면,NNP
전주 여행,6,이용,NNG
전주 여행,6,편하,VA
전주 여행,6,습니다,EC
전주 여행,6,또한,MAJ
전주 여행,6,남자친구,NNP
전주 여행,7,고등학교,NNG
전주 여행,7,친구,NNG
전주 여행,7,당일치기,NNG
전주 여행,7,지금,MAG
전주 여행,7,고등학교,NNP
전주 여행,7,학년,NNG
전주 여행,7,친구,NNG
전주 여행,7,함께,MAG
전주 여행,7,당일치기,NNG
전주 여행,7,예정,NNG
전주 여행,7,ㄴ데,EC
전주 여행,7,부모,NNG
전주 여행,7,라고,EC
전주 여행,7,말씀,NNG
전주 여행,7,드리,VV
전주 여행,7,허락,NNG
전주 여행,7,을까요,EC
전주 여행,7,고등학교,NNP
전주 여행,7,시절,NNG
전주 여행,7,친구,NNG
전주 여행,7,소중,XR
전주 여행,7,추억,NNG
전주 여행,7,만들,VV
전주 여행,7,위하,VV
전주 여행,7,다녀오,VV
전주 여행,7,습니다,EC
전주 여행,8,코스,NNG
전주 여행,8,추천,NNG
전주 여행,8,습니다,EC
전주 여행,8,ㄴ가,EC
전주 여행,8,박물관,NNP
전주 여행,8,관람,NNG
전주 여행,8,이나,JC
전주 여행,8,자연,NNG
전주 여행,8,경치,NNG
전주 여행,8,구경,NNP
전주 여행,8,산타,NNP
전주 여행,8,등등,NNB
전주 여행,8,별루,MAG
전주 여행,8,추천,NNG
전주 여행,8,부탁,NNG
전주 여행,8,드리,VV
전주 여행,8,ㅂ니다,EC
전주 여행,8,코스,NNG
전주 여행,8,추천,NNG
전주 여행,8,드리,VX
전주 여행,8,ㄹ게요,EC
전주 여행,8,전통,NNG
전주 여행,8,음식,NNP
전주 여행,8,문화,NNG
전주 여행,8,풍부,XR
전주 여행,8,으로,JKB
전주 여행,8,유명,XR
전주 여행,8,ㄴ데,EC
전주 여행,8,여러,MM
전주 여행,8,즐기,VV
전주 여행,8,거리,NNP
전주 여행,8,아서,EC
전주 여행,8,즐겁,VA
전주 여행,8,즐기,VV
전주 여행,9,숙소,NNG
전주 여행,9,알리,VV
전주 여행,9,어요,EC
전주 여행,9,남자친구,NNP
전주 여행,9,오랜만,NNG
전주 여행,9,정말,MAG
전주 여행,9,괜찮,VA
전주 여행,9,숙소,NNG
전주 여행,9,예약,NNG
전주 여행,9,어서요,EC
전주 여행,9,많이,MAG
전주 여행,9,많이,MAG
전주 여행,9,답변,NNG
전주 여행,9,해주,NNP
전주 여행,9,안녕하세요,NNP
전주 여행,9,여기,NP
전주 여행,9,어떻,VA
전주 여행,9,ㅂ니다,EC
전주 여행,9,질문,NNG
전주 여행,9,숙소,NNG
전주 여행,9,관련,NNG
전주 여행,9,답변,NNG
전주 여행,9,드리,VV
전주 여행,9,도록,EC
전주 여행,9,습니다,EC
전주 여행,9,다음,NNG
전주 여행,10,경비,NNG
전주 여행,10,보통,MAG
전주 여행,10,경비,NNG
전주 여행,10,얼마,NNG
전주 여행,10,정도,NNG
전주 여행,10,나요,EC
전주 여행,10,숙소,NNG
전주 여행,10,원인,NNP
전주 여행,10,려고,EC
전주 여행,10,는데,EC
전주 여행,10,비싸,VA
전주 여행,10,가요,NNP
전주 여행,10,보통,MAG
전주 여행,10,경비,NNG
전주 여행,10,얼마,NNG
전주 여행,10,정도,NNG
전주 여행,10,나요,EC
전주 여행,10,숙소,NNG
전주 여행,10,원인,NNP
전주 여행,10,려고,EC
전주 여행,10,는데,EC
전주 여행,10,비싸,VA
전주 여행,10,가요,NNP
전주 여행,10,질문,NNG
전주 여행,10,도움,NNG
전주 여행,11,추석,NNP
전주 여행,11,려고,EC
전주 여행,11,는데,EC
전주 여행,11,그때,NNG
